id,total,discountedTotal,userId,totalProducts,totalQuantity,id_products,title,price,quantity,total_products,discountPercentage,discountedTotal_products,thumbnail
1,13037.88,11510.81,1,4,12,162,Blue Frock,29.99,4,119.96,12.13,105.41,https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp
1,13037.88,11510.81,1,4,12,113,Generic Motorcycle,3999.99,3,11999.97,12.1,10547.97,https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/thumbnail.webp
1,13037.88,11510.81,1,4,12,122,iPhone 6,299.99,3,899.97,6.69,839.76,https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp
1,13037.88,11510.81,1,4,12,138,Baseball Ball,8.99,2,17.98,1.71,17.67,https://cdn.dummyjson.com/product-images/sports-accessories/baseball-ball/thumbnail.webp
1,13037.88,11510.81,1,4,12,162,Blue Frock,29.99,4,119.96,12.13,105.41,https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp
1,13037.88,11510.81,1,4,12,113,Generic Motorcycle,3999.99,3,11999.97,12.1,10547.97,https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/thumbnail.webp
1,13037.88,11510.81,1,4,12,122,iPhone 6,299.99,3,899.97,6.69,839.76,https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp
1,13037.88,11510.81,1,4,12,138,Baseball Ball,8.99,2,17.98,1.71,17.67,https://cdn.dummyjson.com/product-images/sports-accessories/baseball-ball/thumbnail.webp
1,13037.88,11510.81,1,4,12,162,Blue Frock,29.99,4,119.96,12.13,105.41,https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp
1,13037.88,11510.81,1,4,12,113,Generic Motorcycle,3999.99,3,11999.97,12.1,10547.97,https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/thumbnail.webp
1,13037.88,11510.81,1,4,12,122,iPhone 6,299.99,3,899.97,6.69,839.76,https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp
1,13037.88,11510.81,1,4,12,138,Baseball Ball,8.99,2,17.98,1.71,17.67,https://cdn.dummyjson.com/product-images/sports-accessories/baseball-ball/thumbnail.webp
1,13037.88,11510.81,1,4,12,162,Blue Frock,29.99,4,119.96,12.13,105.41,https://cdn.dummyjson.com/product-images/tops/blue-frock/thumbnail.webp
1,13037.88,11510.81,1,4,12,113,Generic Motorcycle,3999.99,3,11999.97,12.1,10547.97,https://cdn.dummyjson.com/product-images/motorcycle/generic-motorcycle/thumbnail.webp
1,13037.88,11510.81,1,4,12,122,iPhone 6,299.99,3,899.97,6.69,839.76,https://cdn.dummyjson.com/product-images/smartphones/iphone-6/thumbnail.webp
