flight_number,departure_airport,arrival_airport,departure_time,arrival_time
AV9166,William R Fairchild International Airport,Presidente Juscelino Kubistschek International Airport,4:23 PM,4:39 AM
AC2304,Magway Airport,La Désirade Airport,9:41 AM,12:38 PM
SK4116,Fort Nelson Airport,Kotlik Airport,6:57 AM,3:33 AM
LA9061,Davenport Downs Airport,Tydeo Larre Borges Airport,8:11 AM,5:13 AM
IB9642,Fuzhou Changle International Airport,Redcliffe Airport,6:31 PM,3:58 PM
AF2617,Dillon County Airport,Pichoy Airport,11:59 AM,10:42 AM
NH4045,Renner Field-Goodland Municipal Airport,Timbuktu Airport,2:21 AM,9:10 AM
IB9642,Imbaimadai Airport,Antoine de Saint Exupéry Airport,12:46 PM,9:29 AM
QR4568,Presidente José Sarney Airport,Kisumu Airport,6:54 PM,2:47 PM
SK4438,Betou Airport,Tongoa Airport,2:43 PM,8:16 PM
AV3592,Atsinanana Airport,Umiat Airport,3:40 AM,4:07 PM
TG2641,Alfonso Bonilla Aragon International Airport,Klemtu Water Aerodrome,4:18 PM,7:59 PM
AI4902,Andravida Air Base,Dillon Airport,5:48 PM,7:22 PM
AF1252,Bathurst Island Airport,St Gallen Altenrhein Airport,1:43 AM,2:36 PM
CX5078,Kato Airport,Faisalabad International Airport,3:29 AM,11:50 AM
UA9725,Nondalton Airport,Unguia Airport,11:38 AM,6:03 PM
AM4292,Shillong Airport,Cork Airport,1:51 AM,2:18 AM
AA1876,Las Américas International Airport,Asaloyeh Airport,3:15 PM,7:07 AM
TG1034,White Mountain Airport,Lauro Carneiro de Loyola Airport,4:55 PM,5:30 PM
CX8450,Vestmannaeyjar Airport,"Oesman Sadik Airport, Labuha",2:08 AM,9:02 PM
NZ8729,San Carlos De Bariloche Airport,Poplar Hill Airport,9:39 PM,7:38 AM
SQ5883,Bob Hope Airport,St Jean Airport,3:39 PM,2:41 PM
QR4567,Zhob Airport,Golfito Airport,10:19 AM,3:38 AM
NH5763,Senggo Airport,Guerrero Negro Airport,9:13 PM,2:02 AM
WN6914,Diori Hamani International Airport,El Arrayán Airport,5:01 AM,3:50 PM
NH8525,Bahia Piña Airport,Mulu Airport,2:15 AM,1:58 PM
NH1537,Fresno Chandler Executive Airport,Pangborn Memorial Airport,7:36 AM,3:09 PM
AF8392,Governador Jorge Teixeira de Oliveira Airport,May River Airstrip,1:53 PM,10:17 PM
NH3168,Muko Muko Airport,Kasabonika Airport,8:23 PM,12:03 PM
AZ2628,Esler Regional Airport,Voinjama Airport,1:18 AM,10:35 PM
SK5790,Pakse International Airport,Paruma Airport,9:16 AM,10:12 PM
AZ1147,North of Sixty Airport,Kamarang Airport,2:00 AM,5:22 PM
SQ8501,Camp Bastion Airport,Komaio Airport,12:02 AM,1:14 AM
AC5204,Akjoujt Airport,Sassandra Airport,9:55 PM,10:22 PM
